No,NIM,Nama,NIK,Jurusan,Tanggal,Pendidikan_Terakhir
1,ABC0001,Dosen 1,3201000001,Ekonomi,22-12-2013,Sarjana
2,ABC0002,Dosen 2,3201000002,Fisika,24-05-2013,Magister
3,ABC0003,Dosen 3,3201000003,Manajemen,12-06-2013,Magister
4,ABC0004,Dosen 4,3201000004,Ekonomi,11-11-2018,Magister
5,ABC0005,Dosen 5,3201000005,Hukum,24-11-2018,Doktor
6,ABC0006,Dosen 6,3201000006,Hukum,27-01-2014,Sarjana
7,ABC0007,Dosen 7,3201000007,Manajemen,17-02-2015,Doktor
8,ABC0008,Dosen 8,3201000008,Fisika,23-06-2010,Magister
9,ABC0009,Dosen 9,3201000009,Kimia,09-03-2019,Doktor
10,ABC0010,Dosen 10,3201000010,Kimia,06-10-2015,Doktor
11,ABC0011,Dosen 11,3201000011,Hukum,29-03-2020,Magister
12,ABC0012,Dosen 12,3201000012,Manajemen,16-08-2014,Doktor
13,ABC0013,Dosen 13,3201000013,Biologi,21-06-2018,Magister
14,ABC0014,Dosen 14,3201000014,Informatika,06-05-2013,Magister
15,ABC0015,Dosen 15,3201000015,Fisika,08-11-2011,Sarjana
16,ABC0016,Dosen 16,3201000016,Hukum,28-11-2011,Sarjana
17,ABC0017,Dosen 17,3201000017,Kimia,28-04-2013,Magister
18,ABC0018,Dosen 18,3201000018,Manajemen,02-04-2016,Doktor
19,ABC0019,Dosen 19,3201000019,Hukum,22-12-2012,Doktor
20,ABC0020,Dosen 20,3201000020,Manajemen,10-12-2014,Magister
21,ABC0021,Dosen 21,3201000021,Biologi,22-02-2017,Magister
22,ABC0022,Dosen 22,3201000022,Manajemen,15-11-2018,Magister
23,ABC0023,Dosen 23,3201000023,Biologi,06-04-2010,Sarjana
24,ABC0024,Dosen 24,3201000024,Ekonomi,23-07-2013,Sarjana
25,ABC0025,Dosen 25,3201000025,Matematika,10-05-2019,Magister
26,ABC0026,Dosen 26,3201000026,Informatika,15-06-2013,Doktor
27,ABC0027,Dosen 27,3201000027,Hukum,16-03-2011,Sarjana
28,ABC0028,Dosen 28,3201000028,Biologi,27-04-2016,Sarjana
29,ABC0029,Dosen 29,3201000029,Kimia,25-05-2017,Doktor
30,ABC0030,Dosen 30,3201000030,Manajemen,15-10-2020,Doktor
31,ABC0031,Dosen 31,3201000031,Informatika,12-06-2010,Doktor
32,ABC0032,Dosen 32,3201000032,Kimia,16-11-2018,Magister
33,ABC0033,Dosen 33,3201000033,Hukum,23-08-2011,Sarjana
34,ABC0034,Dosen 34,3201000034,Informatika,12-03-2019,Sarjana
35,ABC0035,Dosen 35,3201000035,Hukum,19-05-2010,Doktor
36,ABC0036,Dosen 36,3201000036,Biologi,11-04-2012,Doktor
37,ABC0037,Dosen 37,3201000037,Fisika,10-01-2012,Magister
38,ABC0038,Dosen 38,3201000038,Fisika,17-11-2014,Sarjana
39,ABC0039,Dosen 39,3201000039,Hukum,08-06-2016,Sarjana
40,ABC0040,Dosen 40,3201000040,Manajemen,09-03-2019,Magister
41,ABC0041,Dosen 41,3201000041,Ekonomi,15-09-2020,Doktor
42,ABC0042,Dosen 42,3201000042,Hukum,02-02-2018,Magister
43,ABC0043,Dosen 43,3201000043,Manajemen,03-07-2012,Sarjana
44,ABC0044,Dosen 44,3201000044,Fisika,28-03-2019,Sarjana
45,ABC0045,Dosen 45,3201000045,Biologi,15-08-2016,Doktor
46,ABC0046,Dosen 46,3201000046,Hukum,05-06-2012,Sarjana
47,ABC0047,Dosen 47,3201000047,Matematika,21-01-2012,Doktor
48,ABC0048,Dosen 48,3201000048,Biologi,27-03-2012,Sarjana
49,ABC0049,Dosen 49,3201000049,Fisika,14-11-2016,Doktor
50,ABC0050,Dosen 50,3201000050,Manajemen,29-05-2020,Doktor
